id,position,gas_fee,mev_potential,creator_id,created_at,included_at,target_tx
20,0,46052052,8,user_23,0,0,
28,1,30816619,0,user_33,0,0,
18,2,29206078,0,user_19,0,0,
35,3,16717060,0,user_41,0,0,
5,4,9606090,0,user_7,0,0,
36,5,6634451,0,user_42,0,0,
0,6,5663186,64,user_0,0,0,
25,7,5154620,293,user_30,0,0,
8,8,5125799,47,user_7,0,0,
39,9,5102876,100,user_43,0,0,
15,10,4096170,229,user_14,0,0,
11,11,3679302,49996,user_10,0,0,
24,12,3656812,0,user_29,0,0,
21,13,3656812,211,user_25,0,0,
44,14,3478516,0,user_49,0,0,
27,15,3005400,0,user_32,0,0,
37,16,2773340,0,user_43,0,0,
17,17,2596572,0,user_19,0,0,
6,18,2426290,19,user_7,0,0,
23,19,1888950,18,user_27,0,0,
13,20,1832986,7,user_12,0,0,
32,21,1736328,0,user_37,0,0,
16,22,1709836,300,user_17,0,0,
7,23,1700000,3904,user_7,0,0,
9,24,1480555,0,user_8,0,0,
33,25,1179311,32,user_38,0,0,
10,26,1150274,16,user_9,0,0,
41,27,1098890,22,user_43,0,0,
2,28,978422,2,user_3,0,0,
29,29,936453,0,user_33,0,0,
42,30,916337,0,user_45,0,0,
1,31,893715,76,user_2,0,0,
38,32,832060,197,user_43,0,0,
43,33,537741,97,user_48,0,0,
26,34,513927,0,user_31,0,0,
34,35,490140,9,user_39,0,0,
31,36,476700,43,user_36,0,0,
4,37,455060,0,user_6,0,0,
19,38,452153,1,user_22,0,0,
30,39,372481,21,user_35,0,0,
22,40,360147,10,user_25,0,0,
14,41,340898,0,user_14,0,0,
3,42,329078,32,user_4,0,0,
54,0,77557561,15,user_10,1,1,
46,1,30816619,0,user_1,1,1,
68,2,21900000,81,user_21,1,1,
85,3,20286989,5,user_41,1,1,
73,4,11323279,0,user_28,1,1,
89,5,11252225,0,user_48,1,1,
76,6,10974007,0,user_30,1,1,
91,7,9881802,0,user_49,1,1,
51,8,8106492,97,user_7,1,1,
50,9,6255920,19,user_5,1,1,
74,10,6008426,0,user_28,1,1,
86,11,5861121,24,user_43,1,1,
63,12,5528638,18,user_13,1,1,
59,13,5054258,1998,user_13,1,1,
47,14,4887215,0,user_3,1,1,
49,15,4751363,8,user_5,1,1,
48,16,4564308,0,user_4,1,1,
45,17,4345245,0,user_0,1,1,
61,18,4277873,0,user_13,1,1,
90,19,3785057,0,user_48,1,1,
62,20,3707787,0,user_13,1,1,
87,21,3605895,34,user_44,1,1,
57,22,3507123,0,user_10,1,1,
80,23,2597896,0,user_36,1,1,
52,24,2520859,0,user_8,1,1,
77,25,2325000,0,user_33,1,1,
60,26,2292296,0,user_13,1,1,
75,27,2243187,0,user_29,1,1,
67,28,1983898,59,user_20,1,1,
84,29,1824690,11,user_40,1,1,
64,30,1824690,0,user_15,1,1,
56,31,1620000,0,user_10,1,1,
58,32,1459098,5,user_11,1,1,
72,33,1262051,296,user_27,1,1,
78,34,1248522,0,user_33,1,1,
82,35,761080,70,user_38,1,1,
69,36,697180,0,user_24,1,1,
83,37,690485,0,user_39,1,1,
66,38,641017,201,user_16,1,1,
55,39,627992,0,user_10,1,1,
65,40,626778,0,user_16,1,1,
79,41,578009,18,user_35,1,1,
70,42,366290,0,user_25,1,1,
53,43,351392,0,user_9,1,1,
81,44,350897,39,user_37,1,1,
71,45,348430,0,user_26,1,1,
88,46,315000,0,user_45,1,1,
132,0,375193926,0,user_46,2,2,
125,1,98808448,10,user_34,2,2,
